Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
2020-11-09,Jordan,2020-11-10 05:40:07,31.24,36.51,114986,1295,9033.0,104658.0,Jordan,1126.9667964959806,1.126224062059729
2020-11-10,Jordan,2020-11-11 05:25:30,31.24,36.51,120982,1386,9249.0,110347.0,Jordan,1185.7330194430342,1.1456249690036535
2020-11-11,Jordan,2020-11-12 05:25:55,31.24,36.51,126401,1467,9416.0,115518.0,Jordan,1238.844120535443,1.1605920839233868
2020-11-12,Jordan,2020-11-13 05:25:30,31.24,36.51,132086,1547,9564.0,120975.0,Jordan,1294.5622622055564,1.1712066380994202
2020-11-13,Jordan,2020-11-14 05:25:37,31.24,36.51,136555,1618,9729.0,125208.0,Jordan,1338.3625040918776,1.18487056497382
2020-11-14,Jordan,2020-11-15 05:26:53,31.24,36.51,141305,1704,9879.0,129722.0,Jordan,1384.9168001223154,1.2059021266055696
2020-11-15,Jordan,2020-11-16 05:25:57,31.24,36.51,143678,1772,10067.0,131839.0,Jordan,1408.1743463286791,1.2333133813109871
2020-11-16,Jordan,2020-11-17 05:25:54,31.24,36.51,149539,1843,10311.0,137385.0,Jordan,1465.6174471780255,1.232454409886384
2020-11-17,Jordan,2020-11-18 05:40:31,31.24,36.51,155993,1909,90267.0,63817.0,Jordan,1528.8724843528562,1.2237728616027643
2020-11-18,Jordan,2020-11-19 05:25:23,31.24,36.51,163926,1969,94896.0,67061.0,Jordan,1606.6230591759008,1.2011517391993949
2020-11-19,Jordan,2020-11-20 05:26:28,31.24,36.51,169395,2053,100280.0,67062.0,Jordan,1660.2242054896826,1.2119602113403585
2020-11-20,Jordan,2020-11-21 05:25:51,31.24,36.51,174335,2116,103834.0,68385.0,Jordan,1708.6406733613378,1.2137551266240283
2020-11-21,Jordan,2020-11-22 05:25:45,31.24,36.51,178161,2172,108353.0,67636.0,Jordan,1746.138933700802,1.2191220300739218
2020-11-22,Jordan,2020-11-23 05:25:26,31.24,36.51,183429,2236,114018.0,67175.0,Jordan,1797.7700982246647,1.2190002671333322
2020-11-23,Jordan,2020-11-24 05:27:31,31.24,36.51,188410,2302,120014.0,66094.0,Jordan,1846.5884031778448,1.2218035136139271
2020-11-24,Jordan,2020-11-25 05:27:20,31.24,36.51,192996,2380,125433.0,65183.0,Jordan,1891.5353508821795,1.2331861800244566
2020-11-25,Jordan,2020-11-26 05:27:44,31.24,36.51,198021,2442,131181.0,64398.0,Jordan,1940.7848956301689,1.2332025391246384
2020-11-26,Jordan,2020-11-27 05:26:53,31.24,36.51,203021,2509,135650.0,64862.0,Jordan,1989.7894177674718,1.2358327463661394
2020-11-27,Jordan,2020-11-28 05:25:50,31.24,36.51,207601,2570,140400.0,64631.0,Jordan,2034.677560045241,1.2379516476317551
2020-11-28,Jordan,2020-11-29 05:25:55,31.24,36.51,210709,2626,142710.0,65373.0,Jordan,2065.1387710057884,1.2462685504653337
2020-11-29,Jordan,2020-11-30 05:26:13,31.24,36.51,214307,2694,148572.0,63041.0,Jordan,2100.4024251357914,1.2570751305370331
2020-11-30,Jordan,2020-12-01 05:26:18,31.24,36.51,219430,2751,155026.0,61653.0,Jordan,2150.612458517672,1.2537027753725565
